Libellé du pays,Libellé du flux,Valeur DHS 2010,Valeur DHS 2011,Valeur DHS 2012,Valeur DHS 2013,Valeur DHS 2014,Valeur DHS 2015,Valeur DHS 2016,Valeur DHS 2017,Valeur DHS 2018,Valeur DHS 2019,Valeur DHS 2020
ANDORRE,Exportations FAB,17000,0.0,1132030.866,3086862.405,6370835.38,7754181.694,7308319.716,5987804.994,6375642.244,6127175.242,3778609.465
ANDORRE,Réexportations en suite d'admission temporaire pour perfectionnement actif avec paiement,0,0.0,0.0,2324293.765,5544210.38,7337091.984,7308319.716,5987804.994,6340370.244,6127175.242,3736763.555
ANDORRE,Réexportations en suite d'admission temporaire pour perfectionnement actif sans paiement,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41845.91
ANDORRE,Importations en admission temporaire pour perfectionnement actif  avec paiement,0,0.0,0.0,0.0,0.0,103538.0,0.0,0.0,0.0,6212.0,0.0
ANDORRE,Importations CAF,22162,101513.0,12627.0,30528.0,64685.0,1431872.0,1038407.0,356178.0,121869.0,7419.0,145.0
ANDORRE,Importations en admission temporaire pour perfectionnement actif  sans paiement,0,101513.0,0.0,0.0,32469.0,0.0,0.0,0.0,0.0,0.0,0.0
EMIRATS ARABES UNIS,Importations CAF,1644282647,2460396368.0,4508352746.416,2572187761.518,3605778018.7,5314554033.898,6509089291.575,5069678744.89,7686349588.707,8720236046.599,4850363771.503
EMIRATS ARABES UNIS,Importations en admission temporaire pour perfectionnement actif  avec paiement,253031085,455626001.0,1538871024.0,637395559.0,1110805031.0,2346972884.96,2333403693.08,2123584116.52,4052968390.57,3271923227.61,1713077502.09
EMIRATS ARABES UNIS,Exportations FAB,1259173840,741667974.0,493165430.096,432283964.789,588242420.18,536643526.432,963174575.812,932848139.082,494385127.054,860410899.508,873791057.741
EMIRATS ARABES UNIS,Importations en admission temporaire pour perfectionnement actif  sans paiement,7965063,4754417.0,4845027.0,3048541.0,5155831.0,4044393.0,3492467.0,2946228.0,2922416.0,2450404.0,1640096.0
EMIRATS ARABES UNIS,Réexportations en suite d'admission temporaire pour perfectionnement actif avec paiement,149698272,84244058.0,89114907.398,152273305.45,149847876.44,179049978.536,97047333.445,293702142.644,141672341.389,268459292.634,339890750.709
EMIRATS ARABES UNIS,Réexportations en suite d'admission temporaire pour perfectionnement actif sans paiement,61020399,21167885.0,69328218.403,14819320.367,16754627.9,19548610.829,15980381.42,12630713.648,10938043.239,9155313.955,11207445.356
AFGHANISTAN,Réexportations en suite d'admission temporaire pour perfectionnement actif sans paiement,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFGHANISTAN,Réexportations en suite d'admission temporaire pour perfectionnement actif avec paiement,15740580,0.0,0.0,0.0,0.0,549968.0,13686492.0,0.0,819385.0,1153517.0,0.0
AFGHANISTAN,Importations en admission temporaire pour perfectionnement actif  sans paiement,9112,0.0,13552.0,0.0,0.0,0.0,0.0,0.0,0.0,2888.0,0.0
AFGHANISTAN,Importations CAF,18412,0.0,17468.0,615106.0,6850.0,0.0,0.0,84877.0,817720.0,4700015.0,170940.0
AFGHANISTAN,Exportations FAB,19248363,0.0,0.0,21919.0,0.0,549968.0,14720740.0,1947118.0,1075705.0,1572238.0,377560.0
AFGHANISTAN,Importations en admission temporaire pour perfectionnement actif  avec paiement,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788595.0,1332637.0,0.0
ANTIGUA ET BARBUDA,Réexportations en suite d'admission temporaire pour perfectionnement actif avec paiement,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261138.91,520499.688
ANTIGUA ET BARBUDA,Importations CAF,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,2381.0
ANTIGUA ET BARBUDA,Exportations FAB,360820,0.0,0.0,0.0,24400.0,704880.0,242836.0,1775800.0,0.0,515679.16,520499.688
ANGUILLA,Réexportations en suite d'admission temporaire pour perfectionnement actif sans paiement,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGUILLA,Réexportations en suite d'admission temporaire pour perfectionnement actif avec paiement,0,500441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGUILLA,Exportations FAB,0,500441.0,630943.0,0.0,0.0,0.0,0.0,48286.0,0.0,0.0,0.0
