Libellé du pays,Valeur moyen des exportations sur 10ans,alpha-3
ANDORRE,4358042.000545454,AND
EMIRATS ARABES UNIS,743253359.5176364,ARE
AFGHANISTAN,3592146.4545454546,AFG
ANTIGUA ET BARBUDA,376810.44072727277,ATG
ALBANIE,21323268.335454546,ALB
ARMENIE,1533508.0080909093,ARM
ANTILLES NEERLANDAIS,1209075.2727272727,ANT
ANGOLA,361590887.3447273,AGO
ARGENTINE,934603433.1479092,ARG
AUTRICHE,1428014782.2033637,AUT
AUSTRALIE,327905437.59154546,AUS
ARUBA,35115.09090909091,ABW
AZERBAIDJAN,9336288.941272728,AZE
BOSNIE-HERZEGOVINE,20719465.166363638,BIH
BARBADE,235410.3,BRB
BANGLADESH,1179754535.2364547,BGD
BELGIQUE,3906822952.500337,BEL
BURKINA FASO,396283139.32100004,BFA
BULGARIE,726937192.3291819,BGR
BAHREIN,53255810.78827273,BHR
BURUNDI,6563095.2727272725,BDI
BENIN,421506229.86609095,BEN
BERMUDES,44122.36363636364,BMU
BRUNEI DARUSSALAM,11330610.878181817,BRN
L'ETAT PLURINATIONAL DE BOLIVIE,950029.3636363636,BOL
BRESIL,8328317894.506272,BRA
BAHAMAS,333798.0909090909,BHS
BOTSWANA,413170.9090909091,BWA
BELARUS,77192394.36209092,BLR
BELIZE,74388.63636363637,BLZ
CANADA,1481872048.4813635,CAN
LA REPUBLIQUE DEMOCRATIQUE DU CONGO,127371652.15354547,COD
REPUBLIQUE CENTRAFRICAINE,34194230.79209091,CAF
CONGO,391818840.0631818,COG
SUISSE,1600058042.6094544,CHE
COTE D'IVOIRE,1336196138.1944544,CIV
CHILI,74828306.81690909,CHL
CAMEROUN,503840266.6749092,CMR
CHINE,2411924013.7219996,CHN
COLOMBIE,122762888.53436364,COL
COSTA RICA,12393888.519727271,CRI
CUBA,27028105.66963637,CUB
CAP-VERT,17381189.36,CPV
CURACAO,131328.9090909091,CUW
CHYPRE,80266267.39672725,CYP
REPUBLIQUE TCHEQUE,548212256.5188181,CZE
ALLEMAGNE,6479181605.746601,DEU
DJIBOUTI,697728150.3642727,DJI
DANEMARK,323674384.0997272,DNK
DOMINIQUE,8463372.272181818,DMA
REPUBLIQUE DOMINICAINE,24981884.238545455,DOM
ALGERIE,1748033001.615,DZA
EQUATEUR,7821768.25890909,ECU
ESTONIE,32248519.068000004,EST
EGYPTE,1225456025.837727,EGY
ERYTHREE,377629.29527272726,ERI
ESPAGNE,47656059200.27627,ESP
ETHIOPIE,581615660.438909,ETH
FINLANDE,92205051.92137818,FIN
FIDJI,811473.08,FJI
FRANCE,47311772576.779,FRA
GABON,398706516.19827276,GAB
ROYAUME-UNI,5856806250.2542095,GBR
GRENADE,214411.33272727273,GRD
GEORGIE,25467738.820727278,GEO
GUYANE FRANCAISE,6197288.291636364,GUF
GHANA,821481223.4786363,GHA
GIBRALTAR,237810212.67845458,GIB
GAMBIE,127742423.7389091,GMB
GUINEE,639529428.717,GIN
GUADELOUPE,17029386.27136364,GLP
GUINEE EQUATORIALE,294150462.1949091,GNQ
GRECE,308936889.4629091,GRC
GEORGIE DU SUD ET LES ILES SANDWICH DU SUD,43587.46154545454,SGS
GUATEMALA,8971893.124727273,GTM
GUINEE-BISSAU,38469767.609181814,GNB
GUYANA,7333473.624545455,GUY
HONG KONG,120862710.36390907,HKG
HONDURAS,2691593.0952727273,HND
CROATIE,207696490.82827273,HRV
HAITI,19222639.12727273,HTI
HONGRIE,319025504.45027274,HUN
INDONESIE,557547876.0515454,IDN
IRLANDE,1098696771.0703275,IRL
INDE,8854596417.87718,IND
IRAQ,148961223.89372727,IRQ
REPUBLIQUE ISLAMIQUE D'IRAN,69443791.07163636,IRN
ISLANDE,22621878.948,ISL
ITALIE,9489956978.533546,ITA
JERSEY,172267.36363636365,JEY
JAMAIQUE,803993.5454545454,JAM
JORDANIE,276767303.32918173,JOR
JAPON,1794944276.7055457,JPN
KENYA,148833544.46454546,KEN
KIRGHIZISTAN,1855730.749,KGZ
CAMBODGE,9028621.25,KHM
COMORES,16085030.686363636,COM
SAINT-KITTS-ET-NEVIS,158987.32727272727,KNA
REPUBLIQUE POPULAIRE DEMOCRATIQUE DE COREE,5740933.090909091,PRK
REPUBLIQUE DE COREE,775803174.2156363,KOR
KOWEIT,147937202.5820909,KWT
ILES CAIMANES,102084.18181818182,CYM
KAZAKHSTAN,8776369.990363635,KAZ
REPUBLIQUE DEMOCRATIQUE POPULAIRE LAO,405369.2672727272,LAO
LIBAN,576490002.8912728,LBN
SAINTE-LUCIE,437495.0418181818,LCA
LIECHTENSTEIN,321362.5981818182,LIE
SRI LANKA,17201127.15518182,LKA
LIBERIA,45561584.33390909,LBR
LESOTHO,92251.18181818182,LSO
LITUANIE,406771706.2522728,LTU
LUXEMBOURG,41632778.460999995,LUX
LETTONIE,112587861.87854546,LVA
LIBYE,621739623.0072727,LBY
MONACO,6565259.132818181,MCO
REPUBLIQUE DE MOLDOVA,428885.6163636363,MDA
MONTENEGRO,7633323.003545454,MNE
MADAGASCAR,49400078.79245455,MDG
ILES MARSHALL,4034195.5627272725,MHL
MACEDOINE,7879914.522,MKD
MALI,566961504.8130908,MLI
MYANMAR,16386649.363636363,MMR
MONGOLIE,906222.1127272728,MNG
MACAO,2223996.3018181818,MAC
ILES MARIANNES DU NORD,27707.636363636364,MNP
MARTINIQUE,16148661.86081818,MTQ
MAURITANIE,1442555971.343091,MRT
MALTE,183587428.03,MLT
MAURICE,61940837.98818181,MUS
MALDIVES,879424.0054545454,MDV
MALAWI,450031.23118181824,MWI
MEXIQUE,1102221618.864909,MEX
MALAISIE,79161575.71854545,MYS
MOZAMBIQUE,197414639.8811818,MOZ
NAMIBIE,106483160.5229091,NAM
NOUVELLE-CALEDONIE,14728851.157363636,NCL
NIGER,199622422.4426364,NER
NIGERIA,1000508188.654909,NGA
NICARAGUA,8775042.12,NIC
PAYS-BAS,5931885872.179437,NLD
NORVEGE,635074108.6443635,NOR
NEPAL,592108.4392727274,NPL
NOUVELLE-ZELANDE,486608111.6096363,NZL
OMAN,127354381.51718183,OMN
PANAMA,10162688.576545455,PAN
PEROU,306384607.9877273,PER
