Libellé du pays,Valeur moyen des importations sur 10ans,alpha-3
ANDORRE,289764.0909090909,AND
EMIRATS ARABES UNIS,4812842638.073272,ARE
AFGHANISTAN,584671.6363636364,AFG
ANTIGUA ET BARBUDA,221.72727272727272,ATG
ALBANIE,11219028.482727272,ALB
ARMENIE,128583.36363636363,ARM
ANTILLES NEERLANDAIS,274.90909090909093,ANT
ANGOLA,33471189.862727273,AGO
ARGENTINE,4826248295.453363,ARG
SAMOA AMERICAINES,219608.9090909091,ASM
AUTRICHE,1802231027.8846362,AUT
AUSTRALIE,298629325.90354544,AUS
ARUBA,7812082.181818182,ABW
AZERBAIDJAN,920001.0909090909,AZE
BOSNIE-HERZEGOVINE,142222102.11627272,BIH
BARBADE,315385.2727272727,BRB
BANGLADESH,313568759.02509093,BGD
BELGIQUE,6616874095.2787285,BEL
BURKINA FASO,16338292.732727272,BFA
BULGARIE,791688977.6074544,BGR
BAHREIN,627554517.7017273,BHR
BURUNDI,971727.0,BDI
BENIN,7345509.636363637,BEN
BERMUDES,2483102.909090909,BMU
BRUNEI DARUSSALAM,30468.454545454544,BRN
L'ETAT PLURINATIONAL DE BOLIVIE,2498630.727272727,BOL
BRESIL,6641619157.446546,BRA
BAHAMAS,81610671.9090909,BHS
BOTSWANA,9603.727272727272,BWA
BELARUS,809499613.4564545,BLR
BELIZE,6378606.090909091,BLZ
CANADA,3694474129.901182,CAN
LA REPUBLIQUE DEMOCRATIQUE DU CONGO,196279709.36363637,COD
REPUBLIQUE CENTRAFRICAINE,44604981.27272727,CAF
CONGO,91006447.11090909,COG
SUISSE,2540565549.0585365,CHE
COTE D'IVOIRE,134000868.35272728,CIV
CHILI,350804495.1782727,CHL
CAMEROUN,54180673.16454545,CMR
CHINE,35103791622.31745,CHN
COLOMBIE,370070279.7918182,COL
COSTA RICA,43902358.39545455,CRI
CUBA,76671807.49363637,CUB
CAP-VERT,8695502.877272727,CPV
CURACAO,4644959.090909091,CUW
CHYPRE,26887293.59181818,CYP
REPUBLIQUE TCHEQUE,2242226230.130882,CZE
ALLEMAGNE,20918740117.148457,DEU
DJIBOUTI,36413.82727272727,DJI
DANEMARK,1283040610.4650002,DNK
DOMINIQUE,629570.0,DMA
REPUBLIQUE DOMINICAINE,5655249.705454546,DOM
ALGERIE,7502369046.152546,DZA
EQUATEUR,90206462.97781819,ECU
ESTONIE,340253853.81790906,EST
EGYPTE,4531354707.397182,EGY
ERYTHREE,12209.90909090909,ERI
ESPAGNE,57900739864.89082,ESP
ETHIOPIE,7522744.926454545,ETH
FINLANDE,2001604496.0651815,FIN
FIDJI,3225.181818181818,FJI
ILES (MALVINAS) FALKLAND,22745565.818181816,FLK
ETATS FEDERES DE MICRONESIE,1703.4545454545455,FSM
ILES FEROE,944776.0909090909,FRO
FRANCE,51378979619.773285,FRA
GABON,176500828.13645455,GAB
ROYAUME-UNI,7847539962.987,GBR
GRENADE,57401.181818181816,GRD
GEORGIE,32327382.115454543,GEO
GUYANE FRANCAISE,7311.909090909091,GUF
GHANA,83877966.5909091,GHA
GIBRALTAR,124981121.52209093,GIB
GROENLAND,54055803.97672727,GRL
GAMBIE,303895.2227272727,GMB
GUINEE,125129877.44754544,GIN
GUADELOUPE,52899.0,GLP
GUINEE EQUATORIALE,85299648.45454545,GNQ
GRECE,898210065.5384545,GRC
GEORGIE DU SUD ET LES ILES SANDWICH DU SUD,54474.63636363636,SGS
GUATEMALA,57514230.18027273,GTM
GUINEE-BISSAU,397268.4090909091,GNB
GUYANA,48552.27272727273,GUY
HONG KONG,226503170.05990908,HKG
HONDURAS,18774582.59090909,HND
CROATIE,232779593.56927273,HRV
HAITI,106628.54545454546,HTI
HONGRIE,1560347150.2738183,HUN
INDONESIE,1088755368.2272727,IDN
IRLANDE,1442962399.5915453,IRL
INDE,5802998438.747455,IND
IRAQ,4319458427.454545,IRQ
REPUBLIQUE ISLAMIQUE D'IRAN,150156840.25463635,IRN
ISLANDE,33734766.88272727,ISL
ITALIE,21666973301.185,ITA
JERSEY,1129.4545454545455,JEY
JAMAIQUE,141156.72727272726,JAM
JORDANIE,169258893.88845453,JOR
JAPON,3671910552.7083635,JPN
KENYA,76236556.55,KEN
KIRGHIZISTAN,151905.07727272727,KGZ
CAMBODGE,43047201.35181818,KHM
COMORES,254892.54545454544,COM
SAINT-KITTS-ET-NEVIS,75.45454545454545,KNA
